experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
2,1,516100,847998543192700,10,536100,
2,3,465000,847998543498600,10,1150000,
2,2,571000,847998543746100,5,1644800,
2,3,465000,847998544002900,11,495400,
2,1,516100,847998544278300,11,1067100,
2,4,389800,847998544595600,6,1702900,
2,1,516100,847998544851500,12,570100,
2,3,465000,847998545089700,12,1084100,
2,2,571000,847998545333200,6,1584400,
2,3,465000,847998545554500,13,462200,
2,1,516100,847998545736600,13,882500,
2,1,516100,847998545940400,14,201800,
2,4,389800,847998546183000,7,1584900,
2,3,465000,847998546399500,14,842500,
2,2,571000,847998546670400,7,1334700,
2,4,389800,847998546903400,8,717800,
2,2,571000,847998547213200,8,540100,
2,4,389800,847998547415900,9,510000,
2,2,571000,847998547601300,9,385100,
2,4,389800,847998547803700,10,385300,
2,2,571000,847998547989800,10,386100,
2,4,389800,847998548188400,11,374800,
2,2,571000,847998548443400,11,444500,
2,4,389800,847998548688800,12,497700,
2,2,571000,847998548907400,12,434000,
2,4,389800,847998549137200,13,444400,
2,2,571000,847998549344000,13,434200,
2,4,389800,847998549595200,14,455600,
2,2,571000,847998549891800,14,545400,
2,1,516100,,,TOTAL,,33883400
2,2,571000,,,TOTAL,,37771300
2,3,465000,,,TOTAL,,34314200
2,4,389800,,,TOTAL,,37526000
3,2,561000,847998702726000,0,19646300,
3,1,508100,847998703038600,0,20039400,
3,3,453700,847998703376200,0,20331100,
3,4,357600,847998703672700,0,20659000,
3,2,561000,847998703941600,1,437800,
3,3,453700,847998704202700,1,701200,
3,1,508100,847998704516500,1,1015000,
3,3,453700,847998704856200,2,650800,
3,2,561000,847998705170500,2,1226400,
3,4,357600,847998705443300,1,1765600,
3,2,561000,847998705656200,3,483300,
3,3,453700,847998705974600,3,1109800,
3,1,508100,847998706226900,2,1707500,
3,3,453700,847998706497000,4,519700,
3,2,561000,847998706727100,4,1068100,
3,4,357600,847998706962000,2,1515500,
3,2,561000,847998707282300,5,552400,
3,3,453700,847998707490500,5,990800,
3,1,508100,847998707696700,3,1467000,
3,3,453700,847998707935900,6,442500,
3,2,561000,847998708249800,6,964600,
3,4,357600,847998708524300,3,1559600,
3,2,561000,847998708793800,7,541400,
3,3,453700,847998709030300,7,1091500,
3,1,508100,847998709269300,4,1569600,
3,3,453700,847998709534100,8,501000,
3,2,561000,847998709751300,8,954700,
3,4,357600,847998710024500,4,1497500,
3,2,561000,847998710300500,9,546400,
3,3,453700,847998710568000,9,1031100,
3,1,508100,847998710863800,5,1591800,
3,3,453700,847998711109100,10,538500,
3,2,561000,847998711352600,10,1049300,
3,4,357600,847998711601400,5,1574100,
3,2,561000,847998711857100,11,495900,
3,3,453700,847998712083600,11,959300,
3,1,508100,847998712360400,6,1493700,
3,3,453700,847998712649600,12,563400,
3,2,561000,847998712914200,12,1054200,
3,4,357600,847998713151400,6,1547400,
3,2,561000,847998713371500,13,454600,
3,3,453700,847998713594800,13,942800,
3,1,508100,847998713814900,7,1451900,
3,3,453700,847998714025900,14,429000,
3,2,561000,847998714333400,14,959200,
3,4,357600,847998714624300,7,1470500,
3,1,508100,847998714851500,8,1034100,
3,4,357600,847998715065300,8,437900,
3,1,508100,847998715308000,9,453900,
3,4,357600,847998715593200,9,525100,
3,1,508100,847998715856200,10,545500,
3,4,357600,847998716099800,10,503900,
3,1,508100,847998716390300,11,524000,
3,4,357600,847998716672600,11,564000,
3,1,508100,847998716913200,12,520200,
3,4,357600,847998717124700,12,401000,
3,1,508100,847998717322500,13,406400,
3,4,357600,847998717530800,13,403300,
3,1,508100,847998717732700,14,407500,
